address,price,lat,lon,year
180 Beacon St #4D,1825000,42.35455,-71.075815,2012
180 Cambridge St #2,470000,42.361109,-71.065262,2016
180 Commonwealth Ave #14,1200000,42.35166,-71.079853,2022
180 Endicott St,1350000,42.365972,-71.0577,2017
180 Marlborough St #3,3150000,42.352461,-71.079763,2013
181 Marlborough St #3,3227500,42.352563,-71.080098,2008
183-185A Massachusetts Ave #100,1500000,42.345393,-71.086945,2019
184 Marlborough St #1,785000,42.352421,-71.079914,2010
172-174 High St,19500000,42.356572,-71.052636,2016
185 Devonshire St #M102,726000,42.356022,-71.057339,2015
185 Devonshire St #201,816900,42.356022,-71.057339,2014
185 Devonshire St #201,802000,42.356022,-71.057339,2020
185 Devonshire St #M102,601000,42.356022,-71.057339,2020
185 Devonshire St #503,521625,42.356022,-71.057339,2015
188 W Brookline St,3760000,42.343029,-71.076525,2014
500 Atlantic Ave #18N,2300000,42.353653,-71.053436,2009
19 Bradford St,2100000,42.34287,-71.068244,2019
19 Clark St,450000,42.365178,-71.052876,2014
19 Cumberland St,1350000,42.343441,-71.081958,2012
19 Gray St #1,1460000,42.345575,-71.071455,2021
19 Hanson St,985000,42.343522,-71.06983,2008
